key,family,side,rotation,um_per_px,disc_cx,disc_cy,disc_r,disc_diameter_um,artery_width_um,vein_width_um,fov_cx,fov_cy,fov_r,artery,vein,fov
deep-bifurcation-2048-000,deep-bifurcation,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,deep-bifurcation-2048-000-artery.png,deep-bifurcation-2048-000-vein.png,deep-bifurcation-2048-000-fov.png
deep-bifurcation-2048-030,deep-bifurcation,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,deep-bifurcation-2048-030-artery.png,deep-bifurcation-2048-030-vein.png,deep-bifurcation-2048-030-fov.png
deep-bifurcation-2048-060,deep-bifurcation,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,deep-bifurcation-2048-060-artery.png,deep-bifurcation-2048-060-vein.png,deep-bifurcation-2048-060-fov.png
deep-bifurcation-2048-090,deep-bifurcation,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,deep-bifurcation-2048-090-artery.png,deep-bifurcation-2048-090-vein.png,deep-bifurcation-2048-090-fov.png
disjoint-2048-000,disjoint,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,disjoint-2048-000-artery.png,disjoint-2048-000-vein.png,disjoint-2048-000-fov.png
disjoint-2048-030,disjoint,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,disjoint-2048-030-artery.png,disjoint-2048-030-vein.png,disjoint-2048-030-fov.png
disjoint-2048-060,disjoint,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,disjoint-2048-060-artery.png,disjoint-2048-060-vein.png,disjoint-2048-060-fov.png
disjoint-2048-090,disjoint,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,disjoint-2048-090-artery.png,disjoint-2048-090-vein.png,disjoint-2048-090-fov.png
koch-2048-000,koch,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,40.0,60.0,1024.0000,1024.0000,1024.0000,koch-2048-000-artery.png,koch-2048-000-vein.png,koch-2048-000-fov.png
koch-2048-030,koch,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,40.0,60.0,1024.0000,1024.0000,1024.0000,koch-2048-030-artery.png,koch-2048-030-vein.png,koch-2048-030-fov.png
koch-2048-060,koch,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,40.0,60.0,1024.0000,1024.0000,1024.0000,koch-2048-060-artery.png,koch-2048-060-vein.png,koch-2048-060-fov.png
koch-2048-090,koch,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,40.0,60.0,1024.0000,1024.0000,1024.0000,koch-2048-090-artery.png,koch-2048-090-vein.png,koch-2048-090-fov.png
spokes-macula-centred-2048-000,spokes-macula-centred,2048,0.0,5.0,1433.6000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-macula-centred-2048-000-artery.png,spokes-macula-centred-2048-000-vein.png,spokes-macula-centred-2048-000-fov.png
spokes-macula-centred-2048-030,spokes-macula-centred,2048,30.0,5.0,1378.7240,1228.8000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-macula-centred-2048-030-artery.png,spokes-macula-centred-2048-030-vein.png,spokes-macula-centred-2048-030-fov.png
spokes-macula-centred-2048-060,spokes-macula-centred,2048,60.0,5.0,1228.8000,1378.7240,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-macula-centred-2048-060-artery.png,spokes-macula-centred-2048-060-vein.png,spokes-macula-centred-2048-060-fov.png
spokes-macula-centred-2048-090,spokes-macula-centred,2048,90.0,5.0,1024.0000,1433.6000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-macula-centred-2048-090-artery.png,spokes-macula-centred-2048-090-vein.png,spokes-macula-centred-2048-090-fov.png
spokes-disc-centred-2048-000,spokes-disc-centred,2048,0.0,5.0,1024.0000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-disc-centred-2048-000-artery.png,spokes-disc-centred-2048-000-vein.png,spokes-disc-centred-2048-000-fov.png
spokes-disc-centred-2048-030,spokes-disc-centred,2048,30.0,5.0,1024.0000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-disc-centred-2048-030-artery.png,spokes-disc-centred-2048-030-vein.png,spokes-disc-centred-2048-030-fov.png
spokes-disc-centred-2048-060,spokes-disc-centred,2048,60.0,5.0,1024.0000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-disc-centred-2048-060-artery.png,spokes-disc-centred-2048-060-vein.png,spokes-disc-centred-2048-060-fov.png
spokes-disc-centred-2048-090,spokes-disc-centred,2048,90.0,5.0,1024.0000,1024.0000,180.0000,1800.0,80.0,120.0,1024.0000,1024.0000,1024.0000,spokes-disc-centred-2048-090-artery.png,spokes-disc-centred-2048-090-vein.png,spokes-disc-centred-2048-090-fov.png
